,symbol,sumOpenInterest,sumOpenInterestValue,timestamp
0,1000SATSUSDT,72054262833.00000000,19736383.13258703,2024-05-05 02:00:00
1,1000SATSUSDT,72339888507.00000000,19756023.5512617,2024-05-05 03:00:00
2,1000SATSUSDT,72687281721.00000000,19930125.77508099,2024-05-05 04:00:00
3,1000SATSUSDT,73058930189.00000000,20029105.71131435,2024-05-05 05:00:00
4,1000SATSUSDT,72984396424.00000000,19838618.63597168,2024-05-05 06:00:00
5,1000SATSUSDT,72766213878.00000000,19776401.60776284,2024-05-05 07:00:00
6,1000SATSUSDT,72664672694.00000000,19960985.5890418,2024-05-05 08:00:00
7,1000SATSUSDT,72858016168.00000000,20065097.6526672,2024-05-05 09:00:00
8,1000SATSUSDT,73076680693.00000000,20114356.36074825,2024-05-05 10:00:00
9,1000SATSUSDT,73339082185.00000000,20130111.2781388,2024-05-05 11:00:00
10,1000SATSUSDT,73691119791.00000000,20303377.32481632,2024-05-05 12:00:00
11,1000SATSUSDT,74028214730.00000000,20183052.4639872,2024-05-05 13:00:00
12,1000SATSUSDT,74263133676.00000000,20406766.50282804,2024-05-05 14:00:00
13,1000SATSUSDT,75496357609.00000000,20933630.03782352,2024-05-05 15:00:00
14,1000SATSUSDT,77167472674.00000000,21454100.75282548,2024-05-05 16:00:00
15,1000SATSUSDT,78394040669.00000000,21963658.37423373,2024-05-05 17:00:00
16,1000SATSUSDT,78952284354.00000000,21928996.9793235,2024-05-05 18:00:00
17,1000SATSUSDT,79188577657.00000000,21749934.73927162,2024-05-05 19:00:00
18,1000SATSUSDT,78642523222.00000000,21681743.6523054,2024-05-05 20:00:00
19,1000SATSUSDT,78427031595.00000000,21525083.0915637,2024-05-05 21:00:00
